what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334016619052
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1334016620177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334016627142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334016811786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334016816579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334019564491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334019915992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334019938146
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1334019942945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334019953732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334019958728
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1334019959565
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1334019966123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334019968678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334019973972
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1334019975077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334019996362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334022747396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334022753737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334022763484
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1334022769078
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1334022772671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334022793410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334024586287
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1334024586374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334024586970
